case_name,year,outbound_url,audited_url,final_url
OAKLEY “IT’S OK”,2019,https://clios.com/awards/winner/film-technique-music-original/oakley/oakley-it-s-ok-56913,https://clios.com/awards/winner/film-technique-music-original/oakley/oakley-it-s-ok-56913,https://clios.com/awards/winner/film-technique-music-original/oakley/oakley-it-s-ok-56913
PASS THE BILL,2019,https://clios.com/awards/winner/innovation/leaf-forward/pass-the-bill-68582,https://clios.com/awards/winner/innovation/leaf-forward/pass-the-bill-68582,https://clios.com/awards/winner/innovation/leaf-forward/pass-the-bill-68582
PRIDE SHIELD,2019,https://rethinkcanada.com/work/fondation-emergence/2018/experiential/the-pride-shield/,https://rethinkcanada.com/work/fondation-emergence/2018/experiential/the-pride-shield/,https://rethinkcanada.com/work/fondation-emergence/2018/experiential/the-pride-shield/
REARRANGED QUEENS,2019,https://clios.com/awards/winner/out-of-home/berliner-philharmoniker/rearranged-1-70963,https://clios.com/awards/winner/out-of-home/berliner-philharmoniker/rearranged-1-70963,https://clios.com/awards/winner/out-of-home/berliner-philharmoniker/rearranged-1-70963
SQUARESPACE MAKE IT,2019,https://clios.com/awards/winner/film/squarespace/make-it-72251,https://clios.com/awards/winner/film/squarespace/make-it-72251,https://clios.com/awards/winner/film/squarespace/make-it-72251
THE 8,2019,https://clios.com/awards/winner/film-technique-cinematography/bmw/the-8-city-of-no-cars-70803,https://clios.com/awards/winner/film-technique-cinematography/bmw/the-8-city-of-no-cars-70803,https://clios.com/awards/winner/film-technique-cinematography/bmw/the-8-city-of-no-cars-70803
THE 9’58 BIOGRAPHY,2019,https://clios.com/awards/winner/design/puma/the-9-58-biography-73780,https://clios.com/awards/winner/design/puma/the-9-58-biography-73780,https://clios.com/awards/winner/design/puma/the-9-58-biography-73780
THE COMMERCIAL THAT SAVES LIVES,2019,https://www.vmlyr.com/work/ministerio-de-salud-chile-commercial-saves-lives,https://www.vmlyr.com/work/ministerio-de-salud-chile-commercial-saves-lives,https://www.vml.com/work
TOURISTS,2019,https://carlosyanke.work/Park-Assist,https://carlosyanke.work/Park-Assist,https://carlosyanke.work/Park-Assist
AKE DEMO,2018,http://sunetahouse.com/video/226289889,http://sunetahouse.com/video/226289889,http://sunetahouse.com/video/226289889
ALL NIGHT LONG TRADING,2018,https://dare.havas.com/news-archive/all-night-long/,https://dare.havas.com/news-archive/all-night-long/,https://dare.havas.com/news-archive/all-night-long/
AMERICA. JUST LIKE THE MOVIES.,2018,https://www.youtube.com/watch?v=CXFMQss33CQ&ab_channel=GREATADS%26LESSGREATADS%28BUTSTILLOK%29,https://www.youtube.com/watch?v=CXFMQss33CQ&ab_channel=GREATADS%26LESSGREATADS%28BUTSTILLOK%29,https://www.youtube.com/watch?v=CXFMQss33CQ&ab_channel=GREATADS%26LESSGREATADS%28BUTSTILLOK%29
AUSSIE NEWS TODAY,2018,https://bbdo.com/work/5b47b2e4f1e61df43c775622,https://bbdo.com/work/5b47b2e4f1e61df43c775622,https://bbdo.com/work/5b47b2e4f1e61df43c775622
