id,case_name,brand,agency,year,reason,yt_score,ltwm_page_score,outbound_url,source_url,youtube_title,youtube_author,audit_class,audit_note
1994-hungry-iii-uintatherium-nissin-food,HUNGRY? III UINTATHERIUM,NISSIN FOOD,HAKUHODO TOKYO,1994,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=vUJxex-FNrM&amp;ab_channel=crasherjoe,https://lovetheworkmore.com/1954-1999/,CUP NOODLES TV Commercial 1992 (Primitive man),crasherjoe,ok,
1994-campfire-levi,CAMPFIRE,LEVI,BBH LONDON,1994,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=zP8FqrTWmyQ&amp;ab_channel=PaulLeviguy,https://lovetheworkmore.com/1954-1999/,Levis 501 Jeans - Ring of Fire - Johnny Cash,Paul Leviguy,ok,
1994-experiment-tapetes-e-carpetes,EXPERIMENT,TAPETES E CARPETES,"FOOTE, CONE & BELDING SÃO PAULO",1994,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=PgjZxDX8suc&amp;list=PL94A746B1DE05A1C6&amp;index=12&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,chimpanzee 2 carpets.mov,videos from vincent,ok,
1994-les-loups-gemey-paris,LES LOUPS,GEMEY PARIS,CLM BBDO ISSY-LES-MOULINEAUX,1994,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=-SgzyvTPqWw&amp;list=PL94A746B1DE05A1C6&amp;index=53&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,kookai girl essence.mov,videos from vincent,ok,
1994-train-breathsavers-mints,TRAIN,BREATHSAVERS MINTS,FCB/LEBER KATZ PARTNERS NEW YORK,1994,low_title_match_vs_youtube,0,0.2,https://www.youtube.com/watch?v=_jniLpMR5dY&amp;ab_channel=MrClassicAds1990s,https://lovetheworkmore.com/1954-1999/,Breath Savers (Man on Subway) 1993,MrClassicAds1990s,ok,
1993-noxin-televerket-radio,NOXIN,TELEVERKET RADIO,ANR.BBDO STOCKHOLM,1993,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=zrfJCGF8WYE&amp;list=PL1C1B3F65FBF4DA40&amp;index=63&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,[Advert/ Commercial] R. Nixon - Pager,videos from vincent,ok,
1990-squeak-golf-gti,SQUEAK,GOLF GTI,BMP DDB LONDON,1990,low_title_match_vs_youtube,0,0.2,https://www.youtube.com/watch?v=JF-KJ5-KNQk&ab_channel=Alan,https://lovetheworkmore.com/1954-1999/,Old VW Volkswagen Advert - Mystery Squeaking Noise,Alan,ok,
1989-production-line-rowntree-mackintosh,PRODUCTION LINE,ROWNTREE MACKINTOSH,J.WUNDERMAN THOMPSON,1989,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=t9ZQbvu4dFc&amp;ab_channel=Cereal%26OtherAds,https://lovetheworkmore.com/1954-1999/,1990 Polo Reject Target System Advert,Cereal & Other Ads,ok,
1989-satellite-dommelsche-beer,SATELLITE,DOMMELSCHE BEER,,1989,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=3FDJaA5UOaU&amp;ab_channel=OntspanTV,https://lovetheworkmore.com/1954-1999/,Dommelsch bier commercial,OntspanTV,ok,
1988-dealers-partnership-for-a-drug-free-america,DEALERS,PARTNERSHIP FOR A DRUG FREE AMERICA,OGILVY & MATHER,1988,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=f9ZcpERxnFM&amp;list=PL08OrAWRwrDlQ_GicxkT6Ev-QKvniaNzP&amp;index=26&amp;ab_channel=rjm512,https://lovetheworkmore.com/1954-1999/,Bizarre 80s Anti-Crack PSA,rjm512,ok,
1986-statue-bom-bril,STATUE,BOM BRIL,DPZ PROPAGANDA,1986,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=U6ECxFrDhOE&amp;ab_channel=ProdutoraAbafilmes,https://lovetheworkmore.com/1954-1999/,ESTATUA,ProdutoraAbafilmes,ok,
1984-heartland-budlight,HEARTLAND,BUDLIGHT,NEEDHAM HARPER & STEERS,1984,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=em7Xuj122Hc&amp;ab_channel=TALVID,https://lovetheworkmore.com/1954-1999/,Great  Bud Light Spot,TALVID,ok,
1984-think-different-apple,THINK DIFFERENT,APPLE,TBWA CHIAT/DAY,1984,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=AL3TQtJDr0U&amp;ab_channel=8bitRicky,https://lovetheworkmore.com/1954-1999/,Here's to the crazy ones,8bitRicky,ok,
1982-carwash-growy,CARWASH,GROWY,GOLD GREENLESS TROTT,1982,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=r8wX4oCnAtM&amp;ab_channel=MonsieurGarnier,https://lovetheworkmore.com/1954-1999/,Knirps,MonsieurGarnier,ok,
1981-japanese-bath-citicorp-travelers-checks,JAPANESE BATH,CITICORP TRAVELERS CHECKS,,1981,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=tt0jhMx0HzY&amp;ab_channel=loqker,https://lovetheworkmore.com/1954-1999/,Citibank - Bathhouse,Люркер,ok,
1978-walkies-c-o-i,WALKIES,C.O.I,SAATCHI & SAATCHI GARLAND COMPTON,1978,low_title_match_vs_youtube,0,0.2,https://www.youtube.com/watch?v=esDHa6HatLw&amp;ab_channel=advertarchive,https://lovetheworkmore.com/1954-1999/,Look after yourself - The Health Education Council,advertarchive,ok,
1972-longshoreman-warner-lambert,LONGSHOREMAN,WARNER-LAMBERT,J. WALTER THOMPSON,1972,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=aBdmRJ-zWWI&amp;ab_channel=BionicDisco,https://lovetheworkmore.com/1954-1999/,"Listerine Commercial (F. Murray Abraham, 1973)",Bionic Disco,ok,
1971-institutes-r-c-a-corporate,INSTITUTES,R.C.A CORPORATE,J. WALTER THOMPSON,1971,low_title_match_vs_youtube,0,0.4,https://youtu.be/REn8GsxSxSw,https://lovetheworkmore.com/1954-1999/,RCA Gold Lion,classicads,ok,
