id,year,brand,case_name,youtube_url
super-bowl-2017-ispot-a3cb,2017,T-Mobile,#UnlimitedMoves,https://www.youtube.com/watch?v=u104lkNsT7Y
super-bowl-2017-ispot-a3cc,2017,NFL,Super Bowl Baby Legends,https://www.youtube.com/watch?v=sryly7XTqLY
super-bowl-2017-ispot-a3cd,2017,WeatherTech,Tech Team,https://www.youtube.com/watch?v=WIZQP7KPByg
super-bowl-2017-ispot-a3ce,2017,FX Network,Legion Super Bowl 2017 TV Promo: Babies,https://www.youtube.com/watch?v=sMLNktIg_q4
super-bowl-2017-ispot-a3cf,2017,FOX,APB Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a3cg,2017,Tide,FOX: Bradshaw Stain,https://www.youtube.com/watch?v=ZMe1wkSw308
super-bowl-2017-ispot-a3ch,2017,National Geographic,Genius Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=tMwFUGik6b4
super-bowl-2017-ispot-a3cj,2017,84 Lumber,The Journey Begins,https://www.youtube.com/watch?v=J0Uk6ctu7nI
super-bowl-2017-ispot-a3ck,2017,Hulu,The Handmaid’s Tale: My Name is Offred,https://www.youtube.com/watch?v=fy_w3kkwpi0
super-bowl-2017-ispot-a3cl,2017,Michelob,Our Bar,https://www.youtube.com/watch?v=SYspyvgn6Bo
super-bowl-2017-ispot-a3cm,2017,Squarespace,Calling JohnMalkovich.com,https://www.youtube.com/watch?v=mgpesqABI9s
super-bowl-2017-ispot-a3cn,2017,Wendy's,Cold Storage,https://www.youtube.com/watch?v=rVUFUlUNFXo
super-bowl-2017-ispot-a3cp,2017,Coca-Cola,Love Story,https://www.youtube.com/watch?v=mnesHsLhRCc
super-bowl-2017-ispot-a3cr,2017,TurboTax,Humpty Hospital,https://www.youtube.com/watch?v=6tTMvdcYK1E
super-bowl-2017-ispot-a3cs,2017,FOX,24: Legacy Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a3ct,2017,Sprint,Extreme Measures,https://www.youtube.com/watch?v=dVz2j2Xbzmo
super-bowl-2017-ispot-a3cu,2017,FX Network,Feud Super Bowl 2017 TV Promo: On Purpose,https://www.youtube.com/watch?v=awwD0z3wgng
super-bowl-2017-ispot-a3cv,2017,FOX,24: Legacy Super Bowl 2017 TV Promo: The Clock Resets,https://www.youtube.com/watch?v=fukFkQjE4PU
super-bowl-2017-ispot-a3cw,2017,Wargaming.net,Word of Tanks: Real Awful Moms,https://www.youtube.com/watch?v=SsoAINThBx8
super-bowl-2017-ispot-a3cy,2017,Febreze,Halftime Bathroom Break Is Coming,https://www.youtube.com/watch?v=Qc2HbCzvKQc
super-bowl-2017-ispot-a3cz,2017,FOX,24: Legacy Super Bowl 2017 TV Promo: Attacks,https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a3f5,2017,Persil ProClean,Super Bowl 2017 Teaser: A Certain Science Guy Makes a Mess,https://www.youtube.com/watch?v=maSvxK2-VUo
super-bowl-2017-ispot-a3m3,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 7 Days,https://www.youtube.com/watch?v=1pdQapwIvXM
super-bowl-2017-ispot-a3m6,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 3 Days,https://www.youtube.com/watch?v=1pdQapwIvXM
super-bowl-2017-ispot-a3m9,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 6 Days,https://www.youtube.com/watch?v=1pdQapwIvXM
