id,case_name,brand,agency,year,current_award_category,current_category_bucket,suggested_category_bucket,confidence,evidence_signal,outbound_url,source_url
2002-kiwi-toilet-roll-clay-model-ball-of-wool-bosch,"KIWI, TOILET ROLL, CLAY MODEL, BALL OF WOOL",BOSCH,TANDEM DDB MADRID,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=Ek8aH-P8Jv0,https://lovetheworkmore.com/2002-2/
2002-leaf-blower-boat-nail-gun-fox-international,"LEAF BLOWER, BOAT, NAIL GUN",FOX INTERNATIONAL,HARVEST SANTA MONICA,2002,,,Film,0.45,fallback_default,https://harvestfilms.com/work/fox-sports-nail-gun/,https://lovetheworkmore.com/2002-2/
2002-look-back-surprise-shower-tasco,"LOOK BACK, SURPRISE, SHOWER",TASCO,BROWN MELHUISH FISHLOCK SYDNEY,2002,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/11Db9cHrETNNsHdUu9wQx-aeL5h-G1avv?usp=drive_link,https://lovetheworkmore.com/2002-2/
2002-love-xxx-sodra-cell,LOVE XXX,SODRA CELL,GARBERGS ANNONSBYRÅ STOCKHOLM,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=Drb4p-EkDrU,https://lovetheworkmore.com/2002-2/
2002-metamorphosis-axe,METAMORPHOSIS,AXE,VEGAOLMOSPONCE BUENOS AIRES,2002,,,Film,0.45,fallback_default,https://www.facebook.com/watch/?v=2030829700297499,https://lovetheworkmore.com/2002-2/
2002-mini-let-s-motor-mini,"MINI, LET’S MOTOR",MINI,CP+B MIAMI,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=-k8GmXx37Wo,https://lovetheworkmore.com/2002-2/
2002-mokitown-daimley-chrysler,MOKITOWN,DAIMLEY CHRYSLER,NEUE DIGITALE FRANKFURT,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=gDVOqNZPPk8,https://lovetheworkmore.com/2002-2/
2002-mother-s-day-cervecerias-quilmes,MOTHER’S DAY,CERVECERIAS QUILMES,Y&R BUENOS AIRES,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=0HQ_dIwqIsc,https://lovetheworkmore.com/2002-2/
2002-old-lady-snail-turtle-diveo,"OLD LADY, SNAIL, TURTLE",DIVEO,TBWA\\CAPSULA SÃO PAULO,2002,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/1MzeEcvENVrzh7MjV-rVIg_X1OB-9zADy?usp=drive_link,https://lovetheworkmore.com/2002-2/
2002-one-in-four-womankind,ONE IN FOUR,WOMANKIND,RAINEY KELLY CAMPBELL ROALFE/Y&R LONDON,2002,,,Media,0.75,\b(media)\b,https://adsspot.me/media/tv-commercials/womankind-day-appeal-one-in-four-28a7f6ff319e,https://lovetheworkmore.com/2002-2/
2002-package-holidays-club-18-30,PACKAGE HOLIDAYS,CLUB 18-30,SAATCHI & SAATCHI LONDON,2002,,,Film,0.45,fallback_default,http://jaced.com/2007/07/22/club-18-30-advertising-campaign-by-saatchi-saatchi/,https://lovetheworkmore.com/2002-2/
2002-pants-lycra,PANTS,LYCRA,Y&R SÃO PAULO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=_j-L40h4jBQ,https://lovetheworkmore.com/2002-2/
2002-peanuts-harley-davidson,PEANUTS,HARLEY DAVIDSON,CARMICHAEL LYNCH MINNEAPOLIS,2002,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/print-detail/harley-davidson-21308.html,https://lovetheworkmore.com/2002-2/
2002-perigrinate-quiescence-distend-coin-requital-houghton-mifflin,"PERIGRINATE, QUIESCENCE, DISTEND, COIN REQUITAL",HOUGHTON MIFFLIN,MULLEN WENHAM,2002,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/11GwMRs0UY2jdnwL9-wFSxZLE9dNG7hxz?usp=drive_link,https://lovetheworkmore.com/2002-2/
2002-pipes-comgas,PIPES,COMGAS,LEW LARA SÃO PAULO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=qNiiJKySOng,https://lovetheworkmore.com/2002-2/
2002-popcorn-tv-guide-dinner-casio-mini-tv,"POPCORN, TV GUIDE, DINNER",CASIO MINI TV,COLENSO BBDO AUCKLAND,2002,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/1k7owkAw6jnxFGi9wAa9v6u9ZHfXCMzIi?usp=drive_link,https://lovetheworkmore.com/2002-2/
2002-prison-bic,PRISON,BIC,TBWA\\CAPSULA SÃO PAULO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=iuMnfcDOWto,https://lovetheworkmore.com/2002-2/
2002-rental-flat-manix,RENTAL FLAT,MANIX,BDDP ET FILS PARIS,2002,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/manix-21606.html,https://lovetheworkmore.com/2002-2/
2002-rocket-toast-polaroid,"ROCKET, TOAST",POLAROID,LEO BURNETT CHICAGO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=dPTo-G7txo4,https://lovetheworkmore.com/2002-2/
2002-shoplifter-behinderten-sportverband-berlin,SHOPLIFTER,BEHINDERTEN-SPORTVERBAND BERLIN,TBWA\\BERLIN,2002,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/bsv-berlin-26520.html,https://lovetheworkmore.com/2002-2/
2002-shoplifting-litter-drink-drive-smoke-grass-torture-museum-prague,"SHOPLIFTING, LITTER, DRINK & DRIVE, SMOKE GRASS",TORTURE MUSEUM PRAGUE,LEO BURNETT ADVERTISING PRAGUE,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=oUNXWkHBiWM,https://lovetheworkmore.com/2002-2/
2002-shopping-cart-pga-tour,SHOPPING CART,PGA TOUR,GSD&M AUSTIN,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=msEaQ36yLMI,https://lovetheworkmore.com/2002-2/
2002-smoking-causes-cancer-hamlet-miniatures-cigars,SMOKING CAUSES CANCER,HAMLET MINIATURES CIGARS,CDP LONDON,2002,,,Film,0.45,fallback_default,https://www.adsoftheworld.com/campaigns/hamlet-fair-ground,https://lovetheworkmore.com/2002-2/
2002-sonjawashere-sonera,SONJAWASHERE,SONERA,TBWA\\PHS HELSINKI,2002,,,Film,0.45,fallback_default,https://drive.google.com/file/d/1jZzYM5sS8D09_WlJwf7fMOHeZapAPrM-/view?usp=drive_link,https://lovetheworkmore.com/2002-2/
2002-staples-generali,STAPLES,GENERALI,MCCANN-ERICKSON GENEVA,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=H-Bx0YRZCu8,https://lovetheworkmore.com/2002-2/
2002-studio-lights-osram,STUDIO LIGHTS,OSRAM,SAATCHI & SAATCHI JOHANNESBURG,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=ZnhRkywASIA,https://lovetheworkmore.com/2002-2/
2002-terrifying-mystifying-fascinating-department-of-health-coi,"TERRIFYING, MYSTIFYING, FASCINATING",DEPARTMENT OF HEALTH/COI,D’ARCY LONDON,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=dqCEx8Z_Uqw,https://lovetheworkmore.com/2002-2/
2002-the-chain-nike,THE CHAIN,NIKE,FRAMFAB COPENHAGEN,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://thisisnotadvertising.wordpress.com/2012/12/03/nike-the-chain-the-worlds-longest-user-generated-video/,https://lovetheworkmore.com/2002-2/
2002-the-fork-spaghetti-little-cars-ikea,"THE FORK, SPAGHETTI, LITTLE CARS",IKEA,LEAGAS DELANEY PARIS CENTRE PARIS,2002,,,Film,0.45,fallback_default,http://www.postkiwi.com/2006/ikea-tidy-up/,https://lovetheworkmore.com/2002-2/
