id,year,brand,title,agency,current_url,query,best_adsspot_url,best_score,candidate_2,candidate_3,candidate_count
2010-what-will-it-take-before-we-respect-the-planet-wwf,2010,WWF,WHAT WILL IT TAKE BEFORE WE RESPECT THE PLANET?,OGILVY PARIS,https://www.adsoftheworld.com/campaign/wwf-ogilvy-06-2010_0,WHAT WILL IT TAKE BEFORE WE RESPECT THE PLANET? WWF 2010 site:adsspot.me/media,,,,,0
2009-bagpiper-opera-singer-priest-honda,2009,HONDA,"BAGPIPER, OPERA SINGER, PRIEST",FISCHER LISBON,https://www.adsoftheworld.com/campaign/honda-fischer-06-2009,"BAGPIPER, OPERA SINGER, PRIEST HONDA 2009 site:adsspot.me/media",,,,,0
2009-barkeeper-skater-shower-ikea,2009,IKEA,"BARKEEPER, SKATER, SHOWER",GRABARZ & PARTNER HAMBURG,https://www.adsoftheworld.com/campaign/ikea-grabarz-partner-05-2009,"BARKEEPER, SKATER, SHOWER IKEA 2009 site:adsspot.me/media",,,,,0
2009-classroom-bus-stop-living-room-carl-zeiss,2009,CARL ZEISS,"CLASSROOM, BUS-STOP, LIVING ROOM",BBDO SINGAPORE,https://www.adsoftheworld.com/campaign/zeiss-bbdo-07-2009,"CLASSROOM, BUS-STOP, LIVING ROOM CARL ZEISS 2009 site:adsspot.me/media",,,,,0
2009-cop-tram-vespa,2009,VESPA,"COP, TRAM",SAATCHI & SAATCHI AUCKLAND,https://www.adsoftheworld.com/campaign/vespa-saatchi-saatchi-09-2008,"COP, TRAM VESPA 2009 site:adsspot.me/media",,,,,0
2009-gm-foods-car-wash-computer-economic-crises-subway-nuclear-greenpeace,2009,GREENPEACE,"GM FOODS, CAR WASH, COMPUTER, ECONOMIC CRISES, SUBWAY, NUCLEAR",DDB PARIS,https://www.adsoftheworld.com/campaign/greenpeace-ddb-05-2009,"GM FOODS, CAR WASH, COMPUTER, ECONOMIC CRISES, SUBWAY, NUCLEAR GREENPEACE 2009 site:adsspot.me/media",,,,,0
2009-multi-media-coke-machine-coca-cola,2009,COCA COLA,MULTI-MEDIA COKE MACHINE,SAPIENTNITRO MIAMI,https://cargo.teamgoodguys.com/Coca-Cola-Multi-Media-Vending,MULTI-MEDIA COKE MACHINE COCA COLA 2009 site:adsspot.me/media,,,,,0
2009-parking-the-ad-squatter-crowded-shelter-home-real-size-home-abbe-pierre-foundation,2009,ABBE PIERRE FOUNDATION,"PARKING, THE AD SQUATTER, CROWDED, SHELTER HOME, REAL SIZE HOME",BDDP & FILS PARIS,https://www.adsoftheworld.com/campaign/fondation-abbe-pierre-bddp-01-2009,"PARKING, THE AD SQUATTER, CROWDED, SHELTER HOME, REAL SIZE HOME ABBE PIERRE FOUNDATION 2009 site:adsspot.me/media",,,,,0
2009-pinky-collar-decrossifier-miller,2009,MILLER,"PINKY, COLLAR, DECROSSIFIER",SAATCHI & SAATCHI NEW YORK,https://mitchgage.cargo.site/Miller-High-Life,"PINKY, COLLAR, DECROSSIFIER MILLER 2009 site:adsspot.me/media",,,,,0
2009-purple-caterpillar-whale-cow-hugs-recipe-book-ben-jerry,2009,BEN & JERRY,"PURPLE CATERPILLAR, WHALE COW, HUGS, RECIPE BOOK",OGILVY SINGAPORE,https://www.adsoftheworld.com/campaign/ben-jerrys-ogilvy-07-2009,"PURPLE CATERPILLAR, WHALE COW, HUGS, RECIPE BOOK BEN & JERRY 2009 site:adsspot.me/media",,,,,0
