id,year,brand,case_name,current_outbound_url,expected_ispot_url,source_url
super-bowl-2022-ispot-bvql,2022,BMW,Teaser: Where Will You Go? [T1],https://www.youtube.com/watch?v=gB6EL5X5rJI,https://www.ispot.tv/ad/BVQL,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvqm,2022,DraftKings,Teaser: Too Good to Be True,https://www.youtube.com/watch?v=C3FG7Gl07cU,https://www.ispot.tv/ad/BVQM,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvqs,2022,General Motors,Teaser: Scott's N-EV-er Gonna Get It [T1],https://www.youtube.com/watch?v=WyVvJj3pq9I,https://www.ispot.tv/ad/BVQS,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvqu,2022,General Motors,Teaser: The EV-il Children Are Our Future [T1],https://www.youtube.com/watch?v=WyVvJj3pq9I,https://www.ispot.tv/ad/BVQU,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvs0,2022,Peacock TV,Premium Movies,https://www.youtube.com/watch?v=SePn1ItyQ6o,https://www.ispot.tv/ad/BVS0,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvs3,2022,Telemundo,GOOOOOOAL,https://www.youtube.com/watch?v=-zu8t_xpyk4,https://www.ispot.tv/ad/BVS3,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvsl,2022,Verizon Home Internet,Cable Guy,https://www.youtube.com/watch?v=8Tw2BaaPMTI,https://www.ispot.tv/ad/BVSL,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvsn,2022,Peacock TV,Marry Me,https://www.youtube.com/watch?v=SePn1ItyQ6o,https://www.ispot.tv/ad/BVSN,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvsp,2022,Pepsi,Halftime Show and Ultra Pass,https://www.youtube.com/watch?v=Xdu4tBHywgg,https://www.ispot.tv/ad/BVSP,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvss,2022,NBC,Ultra Pass,https://www.youtube.com/watch?v=yt8tR3nuG6A,https://www.ispot.tv/ad/BVSS,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvsy,2022,Disney+,All the GOATs,https://www.youtube.com/watch?v=AV8NXzi5Lj0,https://www.ispot.tv/ad/BVSY,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvt3,2022,Disney+,Moon Knight,https://www.youtube.com/watch?v=KM3Yx-5Ymiw,https://www.ispot.tv/ad/BVT3,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvt9,2022,"Amazon, Inc.",Mind Reader,https://www.youtube.com/watch?v=d0UEAr8I9G8,https://www.ispot.tv/ad/BVT9,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvtf,2022,FTX,Don't Miss Out,https://www.youtube.com/watch?v=1R2WW0F_sy4,https://www.ispot.tv/ad/BVTF,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvtt,2022,Toyota,The Joneses [T1],https://www.youtube.com/watch?v=GU4UwCZFnM8,https://www.ispot.tv/ad/BVTT,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvtv,2022,Netflix,New Movies Every Week,https://www.youtube.com/watch?v=Ha8ofuzpriE,https://www.ispot.tv/ad/BVTV,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvtx,2022,E*TRADE from Morgan Stanley,He's Back,https://www.youtube.com/watch?v=zsUXS8tgXdY,https://www.ispot.tv/ad/BVTX,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvv4,2022,T-Mobile,Rescue Your Phone Today,https://www.youtube.com/watch?v=Xy1SrxZ07Ak,https://www.ispot.tv/ad/BVV4,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvvt,2022,QuickBooks,Duality Duets: Hero,https://www.youtube.com/watch?v=r-S8sBXkcew,https://www.ispot.tv/ad/BVVT,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvwg,2022,General Motors,EV-erybody In [T1],https://www.youtube.com/watch?v=s6b-Pn_GIow,https://www.ispot.tv/ad/BVWG,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q0_v,2022,Booking.com,Teaser: Idris Rehearses for His Big Game Debut,https://www.youtube.com/watch?v=YchR7cbFuAU,https://www.ispot.tv/ad/Q0_V,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q00l,2022,Lay's,Teaser: What Are We Doing?,https://www.youtube.com/watch?v=y81fPMc9ubg,https://www.ispot.tv/ad/Q00L,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q07p,2022,AT&T Internet,Pre-Release: A Lot in Common,https://www.youtube.com/watch?v=2NTNjKznv88,https://www.ispot.tv/ad/Q07P,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q0ma,2022,NBC,Do You Know,https://www.youtube.com/watch?v=5JpPpjAdMfo,https://www.ispot.tv/ad/Q0MA,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q0sj,2022,Booking.com,Teaser: Calling Legendary Spokes-Blokes for Advice,https://www.youtube.com/watch?v=yYQAc1zMaAk,https://www.ispot.tv/ad/Q0SJ,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q3dk,2022,Sam's Club,Teaser: VIP,https://www.youtube.com/watch?v=e2VAM1kgmyU,https://www.ispot.tv/ad/Q3DK,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q3er,2022,Vroom.com,Flake: The Musical,https://www.youtube.com/watch?v=L18SdZkdgaU,https://www.ispot.tv/ad/Q3ER,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q3zg,2022,Frito Lay,Teaser: Questions,https://www.youtube.com/watch?v=SpoRadA6Omo,https://www.ispot.tv/ad/Q3ZG,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q4_z,2022,NFL,Teaser: Peyton Manning Casting Tape,https://www.youtube.com/watch?v=tMuG3P3R0qQ,https://www.ispot.tv/ad/Q4_Z,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q43g,2022,NFL,Teaser: Player Casting Tape,https://www.youtube.com/watch?v=KFzjWkBf3wo,https://www.ispot.tv/ad/Q43G,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q463,2022,Peacock TV,This Year: Originals to Love,https://www.youtube.com/watch?v=A0cEcDTALCA,https://www.ispot.tv/ad/Q463,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q4bu,2022,Planet Fitness,What's Gotten Into Lindsay?,https://www.youtube.com/watch?v=4TEKZo6b11M,https://www.ispot.tv/ad/Q4BU,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q4ck,2022,"Amazon, Inc.",Teaser: Mind Reader,https://www.youtube.com/watch?v=dp0mc_kX7Qk,https://www.ispot.tv/ad/Q4CK,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q4gu,2022,Caesars Entertainment,Teaser: The Longest Touchdown Dance,https://www.youtube.com/watch?v=63kpPnd5FAU,https://www.ispot.tv/ad/Q4GU,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q4xm,2022,QuickBooks,Teaser: Duality Duets,https://www.youtube.com/watch?v=r-S8sBXkcew,https://www.ispot.tv/ad/Q4XM,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9_0,2022,Amazon Prime Video,Thursday Night Football,https://www.youtube.com/watch?v=rnDTxvMoCus,https://www.ispot.tv/ad/Q9_0,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q92c,2022,Rocket Mortgage,Teaser: Staring Contest,https://www.youtube.com/watch?v=eKW6Y0Z4YKE,https://www.ispot.tv/ad/Q92C,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q99_,2022,NFL,Teaser: Sunday Fit: Too Small,https://www.youtube.com/watch?v=OAu-2TEL1m4,https://www.ispot.tv/ad/Q99_,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q99j,2022,QuickBooks,Teaser: Small Biz Key No. 6,https://www.youtube.com/watch?v=FY0ng5FNVoQ,https://www.ispot.tv/ad/Q99J,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q99w,2022,NFL,Teaser: Sunday Fit,https://www.youtube.com/watch?v=o88nbPry_Fs,https://www.ispot.tv/ad/Q99W,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9dc,2022,TurboTax,What If?,https://www.youtube.com/watch?v=4KhRAuDtoYQ,https://www.ispot.tv/ad/Q9DC,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9fw,2022,Frito Lay,Teaser: Push It: Dance,https://www.youtube.com/watch?v=g6qrzNs5PWg,https://www.ispot.tv/ad/Q9FW,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9h9,2022,Caesars Entertainment,I Said Legendary,https://www.youtube.com/watch?v=63kpPnd5FAU,https://www.ispot.tv/ad/Q9H9,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9hs,2022,QuickBooks,Teaser: Small Biz Key No. 5,https://www.youtube.com/watch?v=zPi9tMGMHXs,https://www.ispot.tv/ad/Q9HS,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9hx,2022,Cue Health,Meet Cue,https://www.youtube.com/watch?v=CqnbP-rZlRs,https://www.ispot.tv/ad/Q9HX,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9jn,2022,General Motors,Teaser: Dr. Evil on Friendship [T1],https://www.youtube.com/watch?v=UYoa64x59g4,https://www.ispot.tv/ad/Q9JN,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9jq,2022,General Motors,Teaser: Evil Laughter [T1],https://www.youtube.com/watch?v=UYoa64x59g4,https://www.ispot.tv/ad/Q9JQ,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9ld,2022,Rocket Mortgage,Teaser: Trailer,https://www.youtube.com/watch?v=uHwmEe6YEpk,https://www.ispot.tv/ad/Q9LD,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9lm,2022,QuickBooks,Teaser: Small Biz Key No. 3,https://www.youtube.com/watch?v=FY0ng5FNVoQ,https://www.ispot.tv/ad/Q9LM,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9lv,2022,Expedia,Stuff,https://www.youtube.com/watch?v=CMaispXEh94,https://www.ispot.tv/ad/Q9LV,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9ne,2022,Planet Fitness,Teaser: Find Out at the Big Game,https://www.youtube.com/watch?v=LejQ_DoBKdY,https://www.ispot.tv/ad/Q9NE,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9o9,2022,Uber Eats,Teaser: Uber Don't Eats: Trevor and the Light Bulb,https://www.youtube.com/watch?v=eNsJ2qNU7Eo,https://www.ispot.tv/ad/Q9O9,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9oi,2022,Toyota,Teaser: Game On,https://www.youtube.com/watch?v=GU4UwCZFnM8,https://www.ispot.tv/ad/Q9OI,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9rg,2022,Frito Lay,Teaser: Push It,https://www.youtube.com/watch?v=g6qrzNs5PWg,https://www.ispot.tv/ad/Q9RG,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9rv,2022,QuickBooks,Teaser: Small Biz Key No. 4,https://www.youtube.com/watch?v=FY0ng5FNVoQ,https://www.ispot.tv/ad/Q9RV,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9ry,2022,Verizon Home Internet,Teaser: Suiting Up,https://www.youtube.com/watch?v=GjHqi90uuyo,https://www.ispot.tv/ad/Q9RY,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9t7,2022,Sam's Club,Teaser: VIP Trip,https://www.youtube.com/watch?v=IcAeG0qfNJ0,https://www.ispot.tv/ad/Q9T7,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-q9te,2022,Toyota,Teaser: A Grown Man [T1],https://www.youtube.com/watch?v=-g7fzbqDnoI,https://www.ispot.tv/ad/Q9TE,https://www.ispot.tv/events/2022-super-bowl-commercials
