year,playlist,video_title,video_url
2023,"All the 2023 Super Bowl commercials","The Farmer's Dog: Forever 2023 Super Bowl Commercial","https://www.youtube.com/watch?v=IAIo-pUDl0s"
2023,"All the 2023 Super Bowl commercials","AIR: Courting A Legend | Big Game Spot","https://www.youtube.com/watch?v=UEx75kcWgxc"
2023,"All the 2023 Super Bowl commercials","Saving Sawyer | Amazon's Big Game Ad","https://www.youtube.com/watch?v=-bueUljGJ2M"
2023,"All the 2023 Super Bowl commercials","Miller Lite, Coors Light & Blue Moon Big Game Commercial 2023 | The High Stakes Beer Ad","https://www.youtube.com/watch?v=VWe63Z6CYfs"
2023,"All the 2023 Super Bowl commercials","Tubi Rabbit Hole | Super Bowl","https://www.youtube.com/watch?v=GtyxWvifru8"
2023,"All the 2023 Super Bowl commercials","Tubi Interface Interruption | Super Bowl","https://www.youtube.com/watch?v=73p4lL1iq7w"
2023,"All the 2023 Super Bowl commercials","FAST X | Official Trailer","https://www.youtube.com/watch?v=32RAq6JzY-w"
2022,"2022 Ads of Super Bowl LVI (56)","Superbowl-ads.com Top 5 Ads of 2022 Super Bowl 56 (LVI)","https://www.youtube.com/watch?v=rvihhca3BKs"
2022,"2022 Ads of Super Bowl LVI (56)","Amazon’s Big Game Commercial: Mind Reader","https://www.youtube.com/watch?v=d0UEAr8I9G8"
2022,"2022 Ads of Super Bowl LVI (56)","Zeus & Hera  (Official Video)","https://www.youtube.com/watch?v=nUC1QA5gRcU"
2022,"2022 Ads of Super Bowl LVI (56)","The Moment of Truth | Crypto.com","https://www.youtube.com/watch?v=Sk_52aI_W1M"
2022,"2022 Ads of Super Bowl LVI (56)","Big Game TV Spot | Marvel Studios’ Moon Knight | Disney+","https://www.youtube.com/watch?v=KM3Yx-5Ymiw"
2022,"2022 Ads of Super Bowl LVI (56)","Disney+ Has All the GOATs | Disney+","https://www.youtube.com/watch?v=AV8NXzi5Lj0"
2022,"2022 Ads of Super Bowl LVI (56)","Push It | Flamin’ Hot | Super Bowl LVI TV Spot","https://www.youtube.com/watch?v=YCLPiIAKqZY"
2022,"2022 Ads of Super Bowl LVI (56)","Road to Super Bowl LVI | PepsiCo","https://www.youtube.com/watch?v=R2C6ZJEb0kg"
2022,"2022 Ads of Super Bowl LVI (56)","Oversharing Mom -Official Big Game Commercial 2022 | Carvana","https://www.youtube.com/watch?v=YpKYj8edUOg"
2022,"2022 Ads of Super Bowl LVI (56)","Polestar - No Compromises: The Superbowl commercial | Polestar","https://www.youtube.com/watch?v=B4QI0VzbkHk"
2022,"2022 Ads of Super Bowl LVI (56)","Stuff | Made to Travel | 30 | Expedia","https://www.youtube.com/watch?v=CMaispXEh94"
2022,"2022 Ads of Super Bowl LVI (56)","Netflix Super Bowl Commercial | 2022 Movie Preview and The Adam Project","https://www.youtube.com/watch?v=Ha8ofuzpriE"
2022,"2022 Ads of Super Bowl LVI (56)","Ad Meter 2022: Coinbase","https://www.youtube.com/watch?v=eIUD_NE1BDo"
2022,"2022 Ads of Super Bowl LVI (56)","Pringles | Stuck In :90","https://www.youtube.com/watch?v=rjZ_O-c3QRw"
2022,"2022 Ads of Super Bowl LVI (56)","The Grande Escape (Commercial) | Taco Bell","https://www.youtube.com/watch?v=YPV7X8_zKfc"
2022,"2022 Ads of Super Bowl LVI (56)","DraftKings Super Bowl LVI Commercial - Fortune: Life's a Gamble","https://www.youtube.com/watch?v=yrQnUFOTkHs"
2022,"2022 Ads of Super Bowl LVI (56)","Lindsay Lohan - Planet Fitness (Super Bowl Commercial)","https://www.youtube.com/watch?v=4TEKZo6b11M"
2022,"2022 Ads of Super Bowl LVI (56)","The Lost City | Big Game Spot (2022 Movie) – Paramount Pictures","https://www.youtube.com/watch?v=g9AXjtQLgVI"
2022,"2022 Ads of Super Bowl LVI (56)","Ambulance - Only In Theaters April 8","https://www.youtube.com/watch?v=ev82iHoLk8s"
